#Accession,Project Title,Tax ID,Organism,Organism Groups,Strain,Project Type,Data Type,Has Data,Has Pub,Registration date
PRJNA877578,Differentially expressed genes in the transition from callus proliferation to differentiation in Ceratopteris richardii,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,,Primary submission,Transcriptome or Gene expression,Yes,No,9/7/22
PRJNA857489,Transcriptional analysis of Ceratopteris richardii young sporophyte reveals conservation of stem cell factors in the root apical meristem,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,,Primary submission,Transcriptome or Gene expression,Yes,Yes,7/10/22
PRJNA681601,Ceratopteris richardii de novo transcriptome assembly,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,,Primary submission,Transcriptome or Gene expression,Yes,Yes,11/30/20
PRJNA666635,Ceratopteris richardii cultivar:Hn-n Transcriptome or Gene expression,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n,Primary submission,Transcriptome or Gene expression,Yes,Yes,9/30/20
PRJNA651764,Ceratopteris richardii Hn-n (M.Whitten #5841) Transcriptome - Developing leaf,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n (M.Whitten #5841),Primary submission,Transcriptome or Gene expression,Yes,No,8/4/20
PRJNA651765,Ceratopteris richardii Hn-n (M.Whitten #5841) Transcriptome - Expanding leaf,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n (M.Whitten #5841),Primary submission,Transcriptome or Gene expression,Yes,No,8/4/20
PRJNA651766,Ceratopteris richardii Hn-n (M.Whitten #5841) Transcriptome - Sterile leaf,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n (M.Whitten #5841),Primary submission,Transcriptome or Gene expression,Yes,No,8/4/20
PRJNA651767,Ceratopteris richardii Hn-n (M.Whitten #5841) Transcriptome - Fefertile leaf,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n (M.Whitten #5841),Primary submission,Transcriptome or Gene expression,Yes,No,8/4/20
PRJNA651768,Ceratopteris richardii Hn-n (M.Whitten #5841) Transcriptome - Sori,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n (M.Whitten #5841),Primary submission,Transcriptome or Gene expression,Yes,No,8/4/20
PRJNA651769,Ceratopteris richardii Hn-n (M.Whitten #5841) Transcriptome - Mature gamotophyte,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n (M.Whitten #5841),Primary submission,Transcriptome or Gene expression,Yes,No,8/4/20
PRJNA651770,Ceratopteris richardii Hn-n (M.Whitten #5841) Transcriptome - Immature gametophyte,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n (M.Whitten #5841),Primary submission,Transcriptome or Gene expression,Yes,No,8/4/20
PRJNA651771,Ceratopteris richardii Hn-n (M.Whitten #5841) Transcriptome - Stem,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n (M.Whitten #5841),Primary submission,Transcriptome or Gene expression,Yes,No,8/4/20
PRJNA651772,Ceratopteris richardii Hn-n (M.Whitten #5841) Transcriptome - Root,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n (M.Whitten #5841),Primary submission,Transcriptome or Gene expression,Yes,No,8/4/20
PRJNA651773,Ceratopteris richardii Hn-n (M.Whitten #5841) Transcriptome - Young sporophyte,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n (M.Whitten #5841),Primary submission,Transcriptome or Gene expression,Yes,No,8/4/20
PRJNA651774,Ceratopteris richardii Hn-n (M.Whitten #5841) Transcriptome - LeafPool,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n (M.Whitten #5841),Primary submission,Transcriptome or Gene expression,Yes,No,8/4/20
PRJNA651775,Ceratopteris richardii Hn-n (M.Whitten #5841) Transcriptome - MixedTissuePool,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n (M.Whitten #5841),Primary submission,Transcriptome or Gene expression,Yes,No,8/4/20
PRJNA578676,"Transcriptome gene expression analysis of root tip, leaf tip, shoot tip, root (without root tip) and leaf (without leaf tip) from Ceratopteris richardii sporophytes",49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,,Primary submission,Transcriptome or Gene expression,Yes,No,10/21/19
PRJNA556130,Ceratopteris richardii Transcriptome or Gene expression,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,,Primary submission,Transcriptome or Gene expression,Yes,No,7/23/19
PRJNA555841,Transcriptome analysis of auxin-regulated genes in Ceratopteris richardii sporophytes,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,,Primary submission,Transcriptome or Gene expression,Yes,No,7/22/19
PRJNA284599,Ceratopteris richardii transcriptome across early development,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n,Primary submission,Transcriptome or Gene expression,Yes,No,5/21/15
PRJNA248887,Ceratopteris richardii strain:Hn-n Transcriptome or Gene expression,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n,Primary submission,Transcriptome or Gene expression,Yes,No,5/29/14
PRJNA168519,Ceratopteris richardii strain:Hn-n Transcriptome or Gene expression,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n,Primary submission,Transcriptome or Gene expression,Yes,No,6/15/12
PRJNA1149654,Ceratopteris richardii RNAseq,,,,,Primary submission,Raw sequence reads,Yes,No,8/19/24
PRJNA1121398,Transcriptomic studies of CrHAM KD gametophytes in Ceratopteris richardii,,,,,Primary submission,Raw sequence reads,Yes,No,6/7/24
PRJEB33372,"Transcriptome from fronds, mature gametophytes and spores of Ceratopteris richardii Hn-n strain.",,,,,Primary submission,Transcriptome or Gene expression,Yes,No,10/23/19